"","Areas agrarias heterogeneas","Areas con fuertes procesos erosivos","Cultivos herbaceos","Infraestructuras de comunicaciones","Invernaderos","Lagos y lagunas","Lenoso regadio","Lenoso secano","Marisma","Masas de agua artificial","Playas, dunas y arenales","Salinas","Tejido urbano","Vegetacion natural","Vegetacion riparia","Zonas industriales y comerciales","Zonas mineras, escombreras o de vertido","Zonas verdes y espacios de ocio"
"Areas agrarias heterogeneas",2,3,39,3,4,0,5,36,0,23,1,6,0,24,11,0,0,0
"Cultivos herbaceos",1,4,19,2,3,28,1,9,1,8,0,0,3,6,8,1,0,0
"Invernaderos",0,8,0,7,184,4,0,0,0,2,10,0,1,10,4,1,0,2
"Lagos y lagunas",0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0
"Lenoso regadio",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"Lenoso secano",0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0
"Marisma",0,0,0,1,1,5,0,0,2,0,0,20,0,0,2,0,0,0
"Playas, dunas y arenales",0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0
"Salinas",0,0,0,0,0,0,0,0,0,0,0,145,1,0,0,0,0,0
"Tejido urbano",2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"Vegetacion natural",0,26,8,7,3,1,1,4,6,7,25,98,0,115,4,0,1,0
"Vegetacion riparia",0,0,0,0,0,0,0,0,0,2,0,7,0,0,5,0,0,0
"Zonas en construccion",0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,9
"Zonas industriales y comerciales",0,2,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0
"Zonas mineras, escombreras o de vertido",0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,1
